评论ID,评论内容,点赞量,评论时间,IP地址,子评论数,视频ID,视频链接,用户UID,用户链接,用户名称,抖音号,一级评论ID,一级评论内容,一级评论用户UID,一级评论用户名称,引用的评论ID,引用的评论内容,引用的用户UID,引用的用户名称
7102739092714816271,带着妆贴？,198,2022-05-28 18:55:35,吉林,6,7101866744960060707,https://www.douyin.com/video/7101866744960060707,97558098987,https://www.douyin.com/user/MS4wLjABAAAAi2wS1UfrcOdOl6CE9b2rnOgMH_9hHMjdFIQ9q9JTvtY,熙熙曼,1436414508,,,,,,,,
7236363770300908345,是的 这款微针可以直达真皮层组织 不是靠表皮吸收[送心],5,2023-05-23 21:07:20,山西,,7101866744960060707,https://www.douyin.com/video/7101866744960060707,68422515183,https://www.douyin.com/user/MS4wLjABAAAAFLn-qQ9GGEEVvodOsxLV-obNJAtibkc6hkoa3EvrT2s,AFIONA妍丽晋中天美杉杉奥莱店,88422515183,7102739092714816271,带着妆贴？,97558098987,熙熙曼,,,,
7236331757238043451,可以只清洁需要贴的位置呀[捂脸],3,2023-05-23 19:03:09,浙江,,7101866744960060707,https://www.douyin.com/video/7101866744960060707,3290157932884568,https://www.douyin.com/user/MS4wLjABAAAA68fWzQOAv2N-KELbaVtn_2V_oKbJVZwpZpzQTzExA73byZQabmVLBtB8f6Pz019m,燕宝,dy1eo7t3qi2c8,7102739092714816271,带着妆贴？,97558098987,熙熙曼,7102739092714816271,带着妆贴？,97558098987,熙熙曼
7104217716730839848,不能还有眼影,1,2022-06-01 18:33:23,吉林,,7101866744960060707,https://www.douyin.com/video/7101866744960060707,97558098987,https://www.douyin.com/user/MS4wLjABAAAAi2wS1UfrcOdOl6CE9b2rnOgMH_9hHMjdFIQ9q9JTvtY,熙熙曼,1436414508,7102739092714816271,带着妆贴？,97558098987,熙熙曼,,,,
7104565649725162273,哈哈哈哈哈,0,2022-06-02 17:03:33,云南,,7101866744960060707,https://www.douyin.com/video/7101866744960060707,63964118944,https://www.douyin.com/user/MS4wLjABAAAAoojYPLhAPaIonXLMQuRLgziTJLUxbEhUVEoO2pXosyU,小阿怡🥕,Orsonran,7102739092714816271,带着妆贴？,97558098987,熙熙曼,,,,
7104565167551939360,@小阿怡 @Ada . 笑死我了,0,2022-06-02 17:01:39,江苏,,7101866744960060707,https://www.douyin.com/video/7101866744960060707,99959550387,https://www.douyin.com/user/MS4wLjABAAAAtDSxRp6vAocdlM7sGOEM4w1Sw1N_Xdq0sIazqSjU_nM,柚子,1143736152,7102739092714816271,带着妆贴？,97558098987,熙熙曼,7102739092714816271,带着妆贴？,97558098987,熙熙曼
7104151092028015363,能排除是肿了么？,0,2022-06-01 14:14:46,辽宁,,7101866744960060707,https://www.douyin.com/video/7101866744960060707,201933000548767,https://www.douyin.com/user/MS4wLjABAAAAGzwKherJMbGOsgguMEfCPPqjG7YKjzjbBbcx3fQpwF8,局外仁,662456x,7102739092714816271,带着妆贴？,97558098987,熙熙曼,7102739092714816271,带着妆贴？,97558098987,熙熙曼
7112902126040449827,微针本来就是骗人的，早就有人曝光过了，还敢卖[尬笑][尬笑][尬笑],23,2022-06-25 04:13:52,山西,2,7101866744960060707,https://www.douyin.com/video/7101866744960060707,2743992187107696,https://www.douyin.com/user/MS4wLjABAAAA0lB8lnGVwOhybapyO7MWrMSauhAOJhovgtNYxOJx3s2wOMJVOE8gEDw3Hz0aZajM,维尼🧸,wjy030412,,,,,,,,
7351961180326724389,微针是一种治疗方法。只不过这个微针是骗人的。,4,2024-03-30 09:24:21,辽宁,,7101866744960060707,https://www.douyin.com/video/7101866744960060707,2661298298968871,https://www.douyin.com/user/MS4wLjABAAAAFs2tNk1nWWreNFAWEab8pcPLdgELaLyZK9Uedo0Ps-reenI2j2tQkDtWjbTYHX6U,TS,50289818460,7112902126040449827,微针本来就是骗人的，早就有人曝光过了，还敢卖[尬笑][尬笑][尬笑],2743992187107696,维尼🧸,7112902126040449827,微针本来就是骗人的，早就有人曝光过了，还敢卖[尬笑][尬笑][尬笑],2743992187107696,维尼🧸
7329761992654324530,在哪里买的到,0,2024-01-30 13:40:08,湖北,,7101866744960060707,https://www.douyin.com/video/7101866744960060707,717330604360347,https://www.douyin.com/user/MS4wLjABAAAApp1zveNZnVxjfqq_f7rZdpQApahWtG0yG3uEMBsbhlU,用户5089289715090,56636609039,7112902126040449827,微针本来就是骗人的，早就有人曝光过了，还敢卖[尬笑][尬笑][尬笑],2743992187107696,维尼🧸,,,,
